127.0.0.1 - - [16/Sep/2023:22:48:02 -0300] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET /tomcat.svg HTTP/1.1" 200 68761
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET /tomcat.css HTTP/1.1" 200 5895
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:15 -0300] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:51 -0300] "GET /tarea2/ConsultaActividadDeportiva HTTP/1.1" 200 11616
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:51 -0300] "GET /tarea2/css/bootstrap.min.css HTTP/1.1" 200 232860
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:51 -0300] "GET /tarea2/assets/styles/index.css HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:51 -0300] "GET /tarea2/js/bootstrap.min.js HTTP/1.1" 200 60588
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:51 -0300] "GET /tarea2/js/bootstrap.bundle.min.js HTTP/1.1" 200 80674
0:0:0:0:0:0:0:1 - - [16/Sep/2023:22:48:51 -0300] "GET /tarea2/assets/images/logo.png HTTP/1.1" 200 4495
