127.0.0.1 - - [03/Oct/2023:20:20:18 -0300] "GET / HTTP/1.1" 200 11428
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:20 -0300] "GET /tarea2/ConsultaUsuarios.jsp HTTP/1.1" 200 3435
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:20 -0300] "GET /tarea2/assets/images/logo.png HTTP/1.1" 200 4495
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:20 -0300] "GET /tarea2/js/bootstrap.min.js HTTP/1.1" 200 60588
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:20 -0300] "GET /tarea2/assets/styles/index.css HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:20 -0300] "GET /tarea2/css/bootstrap.min.css HTTP/1.1" 200 232860
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:20 -0300] "GET /tarea2/js/bootstrap.bundle.min.js HTTP/1.1" 200 80674
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:21 -0300] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:25 -0300] "GET /tarea2/index.jsp HTTP/1.1" 200 4971
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:25 -0300] "GET /tarea2/assets/images/poster.jpg HTTP/1.1" 200 296634
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:25 -0300] "GET /tarea2/assets/images/card-image3.jpg HTTP/1.1" 200 63175
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:25 -0300] "GET /tarea2/assets/images/card-image2.jpg HTTP/1.1" 200 297334
0:0:0:0:0:0:0:1 - - [03/Oct/2023:20:20:25 -0300] "GET /tarea2/assets/images/card-image1.jpg HTTP/1.1" 200 177280
